Geographic Area Name,Median income estimate
"Kwigillingok CDP, Alaska",13646
"Lake Louise CDP, Alaska",-
"Lake Minchumina CDP, Alaska",-
"Larsen Bay city, Alaska",41932
"Lazy Mountain CDP, Alaska",37108
"Levelock CDP, Alaska",24500
"Lime Village CDP, Alaska",8750
"Livengood CDP, Alaska",-
"Loring CDP, Alaska",-
"Lowell Point CDP, Alaska",-
"Lower Kalskag city, Alaska",13194
"Lutak CDP, Alaska",-
"McCarthy CDP, Alaska",-
"McGrath city, Alaska",31250
"Manley Hot Springs CDP, Alaska",31875
"Manokotak city, Alaska",17961
"Marshall city, Alaska",13036
"Meadow Lakes CDP, Alaska",35427
"Mekoryuk city, Alaska",19688
"Mendeltna CDP, Alaska",-
"Mentasta Lake CDP, Alaska",26176
"Mertarvik CDP, Alaska",-
"Metlakatla CDP, Alaska",30809
"Mill Bay CDP, Alaska",55644
"Minto CDP, Alaska",33357
"Moose Creek CDP, Alaska",42420
"Moose Pass CDP, Alaska",71806
"Mosquito Lake CDP, Alaska",72824
"Mountain Village city, Alaska",10882
"Mud Bay CDP, Alaska",38250
"Nabesna CDP, Alaska",-
"Naknek CDP, Alaska",58833
"Nanwalek CDP, Alaska",-
"Napakiak city, Alaska",12721
"Napaskiak city, Alaska",15697
"Naukati Bay CDP, Alaska",8491
"Nelchina CDP, Alaska",-
"Nelson Lagoon CDP, Alaska",27813
"Nenana city, Alaska",38301
"Newhalen city, Alaska",19000
"New Stuyahok city, Alaska",23611
"Newtok CDP, Alaska",23438
"Nightmute city, Alaska",9583
"Nikiski CDP, Alaska",30784
"Nikolaevsk CDP, Alaska",-
"Nikolai city, Alaska",18375
